-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                                                                              DescribeInstancePatches                                                                              |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
||                                                                                     Patches                                                                                     ||
|+----------------+----------------+----------------------------------------------+------------+-----------------+-----------------------------------------------------------------+|
|| Classification | InstalledTime  |                    KBId                      | Severity   |      State      |                              Title                              ||
|+----------------+----------------+----------------------------------------------+------------+-----------------+-----------------------------------------------------------------+|
||  Security      |  1552075151.0  |  curl.x86_64                                 |  Important |  Installed      |  curl.x86_64:0:7.61.1-9.amzn2.0.1                               ||
||  Security      |  1552075159.0  |  dhclient.x86_64                             |  Critical  |  Installed      |  dhclient.x86_64:12:4.2.5-68.amzn2.1.5                          ||
||  Security      |  1552075159.0  |  dhcp-common.x86_64                          |  Critical  |  Installed      |  dhcp-common.x86_64:12:4.2.5-68.amzn2.1.5                       ||
||  Security      |  1552075159.0  |  dhcp-libs.x86_64                            |  Critical  |  Installed      |  dhcp-libs.x86_64:12:4.2.5-68.amzn2.1.5                         ||
||  Security      |  1552075152.0  |  gnupg2.x86_64                               |  Important |  Installed      |  gnupg2.x86_64:0:2.0.22-5.amzn2.0.2                             ||
||  Security      |  1552075151.0  |  libcurl.x86_64                              |  Important |  Installed      |  libcurl.x86_64:0:7.61.1-9.amzn2.0.1                            ||
||  Security      |  1552075133.0  |  perl.x86_64                                 |  Important |  Installed      |  perl.x86_64:4:5.16.3-294.amzn2                                 ||
||  Security      |  1552075132.0  |  perl-Pod-Escapes.noarch                     |  Important |  Installed      |  perl-Pod-Escapes.noarch:1:1.04-294.amzn2                       ||
||  Security      |  1552075132.0  |  perl-libs.x86_64                            |  Important |  Installed      |  perl-libs.x86_64:4:5.16.3-294.amzn2                            ||
||  Security      |  1552075132.0  |  perl-macros.x86_64                          |  Important |  Installed      |  perl-macros.x86_64:4:5.16.3-294.amzn2                          ||
||  Security      |  1552075157.0  |  procps-ng.x86_64                            |  Important |  Installed      |  procps-ng.x86_64:0:3.3.10-17.amzn2.2.2                         ||
||  Security      |  1552075156.0  |  systemd.x86_64                              |  Important |  Installed      |  systemd.x86_64:0:219-57.amzn2.0.9                              ||
||  Security      |  1552075155.0  |  systemd-libs.x86_64                         |  Important |  Installed      |  systemd-libs.x86_64:0:219-57.amzn2.0.9                         ||
||  Security      |  1552075157.0  |  systemd-sysv.x86_64                         |  Important |  Installed      |  systemd-sysv.x86_64:0:219-57.amzn2.0.9                         ||
||  Security      |  1552075177.0  |  yum-plugin-priorities.noarch                |  Important |  Installed      |  yum-plugin-priorities.noarch:0:1.1.31-46.amzn2.0.1             ||
||  Security      |  1552075177.0  |  yum-utils.noarch                            |  Important |  Installed      |  yum-utils.noarch:0:1.1.31-46.amzn2.0.1                         ||
||                |  1552075129.0  |  GeoIP.x86_64                                |            |  InstalledOther |  GeoIP.x86_64:0:1.5.0-11.amzn2.0.2                              ||
||                |  1552075144.0  |  PyYAML.x86_64                               |            |  InstalledOther |  PyYAML.x86_64:0:3.10-11.amzn2.0.2                              ||
||                |  1552075134.0  |  acl.x86_64                                  |            |  InstalledOther |  acl.x86_64:0:2.2.51-14.amzn2                                   ||
||                |  1552075160.0  |  acpid.x86_64                                |            |  InstalledOther |  acpid.x86_64:0:2.0.19-9.amzn2.0.1                              ||
||                |  1552075178.0  |  amazon-linux-extras.noarch                  |            |  InstalledOther |  amazon-linux-extras.noarch:0:1.6.7-1.amzn2                     ||
||                |  1552075185.0  |  amazon-linux-extras-yum-plugin.noarch       |            |  InstalledOther |  amazon-linux-extras-yum-plugin.noarch:0:1.6.7-1.amzn2          ||
||                |  1552075176.0  |  amazon-ssm-agent.x86_64                     |            |  InstalledOther |  amazon-ssm-agent.x86_64:0:2.3.372.0-1.amzn2                    ||
||                |  1552075176.0  |  at.x86_64                                   |            |  InstalledOther |  at.x86_64:0:3.1.13-23.amzn2                                    ||
||                |  1552075134.0  |  attr.x86_64                                 |            |  InstalledOther |  attr.x86_64:0:2.4.46-12.amzn2.0.2                              ||
||                |  1552075172.0  |  audit.x86_64                                |            |  InstalledOther |  audit.x86_64:0:2.8.1-3.amzn2.1                                 ||
||                |  1552075127.0  |  audit-libs.x86_64                           |            |  InstalledOther |  audit-libs.x86_64:0:2.8.1-3.amzn2.1                            ||
||                |  1552075170.0  |  authconfig.x86_64                           |            |  InstalledOther |  authconfig.x86_64:0:6.2.8-30.amzn2.0.2                         ||
||                |  1552075178.0  |  aws-cfn-bootstrap.noarch                    |            |  InstalledOther |  aws-cfn-bootstrap.noarch:0:1.4-31.amzn2                        ||
||                |  1552075177.0  |  awscli.noarch                               |            |  InstalledOther |  awscli.noarch:0:1.16.102-1.amzn2.0.1                           ||
||                |  1552075125.0  |  basesystem.noarch                           |            |  InstalledOther |  basesystem.noarch:0:10.0-7.amzn2.0.1                           ||
||                |  1552075125.0  |  bash.x86_64                                 |            |  InstalledOther |  bash.x86_64:0:4.2.46-30.amzn2                                  ||
||                |  1552075178.0  |  bash-completion.noarch                      |            |  InstalledOther |  bash-completion.noarch:1:2.1-6.amzn2                           ||
||                |  1552075179.0  |  bc.x86_64                                   |            |  InstalledOther |  bc.x86_64:0:1.06.95-13.amzn2.0.2                               ||
||                |  1552075151.0  |  binutils.x86_64                             |            |  InstalledOther |  binutils.x86_64:0:2.29.1-27.amzn2.0.1                          ||
||                |  1552075178.0  |  blktrace.x86_64                             |            |  InstalledOther |  blktrace.x86_64:0:1.0.5-8.amzn2.0.2                            ||
||                |  1552075135.0  |  boost-date-time.x86_64                      |            |  InstalledOther |  boost-date-time.x86_64:0:1.53.0-27.amzn2.0.3                   ||
||                |  1552075130.0  |  boost-system.x86_64                         |            |  InstalledOther |  boost-system.x86_64:0:1.53.0-27.amzn2.0.3                      ||
||                |  1552075131.0  |  boost-thread.x86_64                         |            |  InstalledOther |  boost-thread.x86_64:0:1.53.0-27.amzn2.0.3                      ||
||                |  1552075184.0  |  bridge-utils.x86_64                         |            |  InstalledOther |  bridge-utils.x86_64:0:1.5-9.amzn2.0.2                          ||
||                |  1552075179.0  |  bzip2.x86_64                                |            |  InstalledOther |  bzip2.x86_64:0:1.0.6-13.amzn2.0.2                              ||
||                |  1552075127.0  |  bzip2-libs.x86_64                           |            |  InstalledOther |  bzip2-libs.x86_64:0:1.0.6-13.amzn2.0.2                         ||
||                |  1552075138.0  |  ca-certificates.noarch                      |            |  InstalledOther |  ca-certificates.noarch:0:2018.2.22-70.0.amzn2                  ||
||                |  1552075126.0  |  chkconfig.x86_64                            |            |  InstalledOther |  chkconfig.x86_64:0:1.7.4-1.amzn2.0.2                           ||
||                |  1552075172.0  |  chrony.x86_64                               |            |  InstalledOther |  chrony.x86_64:0:3.2-1.amzn2.0.4                                ||
||                |  1552075168.0  |  cloud-init.noarch                           |            |  InstalledOther |  cloud-init.noarch:0:18.2-72.amzn2.0.6                          ||
||                |  1552075176.0  |  cloud-utils-growpart.noarch                 |            |  InstalledOther |  cloud-utils-growpart.noarch:0:0.29-2.amzn2                     ||
||                |  1552075140.0  |  coreutils.x86_64                            |            |  InstalledOther |  coreutils.x86_64:0:8.22-21.amzn2                               ||
||                |  1552075128.0  |  cpio.x86_64                                 |            |  InstalledOther |  cpio.x86_64:0:2.11-27.amzn2                                    ||
||                |  1552075143.0  |  cracklib.x86_64                             |            |  InstalledOther |  cracklib.x86_64:0:2.9.0-11.amzn2.0.2                           ||
||                |  1552075143.0  |  cracklib-dicts.x86_64                       |            |  InstalledOther |  cracklib-dicts.x86_64:0:2.9.0-11.amzn2.0.2                     ||
||                |  1552075157.0  |  cronie.x86_64                               |            |  InstalledOther |  cronie.x86_64:0:1.4.11-19.amzn2                                ||
||                |  1552075157.0  |  cronie-anacron.x86_64                       |            |  InstalledOther |  cronie-anacron.x86_64:0:1.4.11-19.amzn2                        ||
||                |  1552075157.0  |  crontabs.noarch                             |            |  InstalledOther |  crontabs.noarch:0:1.11-6.20121102git.amzn2                     ||
||                |  1552075176.0  |  cryptsetup.x86_64                           |            |  InstalledOther |  cryptsetup.x86_64:0:1.7.4-4.amzn2                              ||
||                |  1552075154.0  |  cryptsetup-libs.x86_64                      |            |  InstalledOther |  cryptsetup-libs.x86_64:0:1.7.4-4.amzn2                         ||
||                |  1552075143.0  |  cyrus-sasl-lib.x86_64                       |            |  InstalledOther |  cyrus-sasl-lib.x86_64:0:2.1.26-23.amzn2                        ||
||                |  1552075178.0  |  cyrus-sasl-plain.x86_64                     |            |  InstalledOther |  cyrus-sasl-plain.x86_64:0:2.1.26-23.amzn2                      ||
||                |  1552075157.0  |  dbus.x86_64                                 |            |  InstalledOther |  dbus.x86_64:1:1.10.24-7.amzn2                                  ||
||                |  1552075155.0  |  dbus-libs.x86_64                            |            |  InstalledOther |  dbus-libs.x86_64:1:1.10.24-7.amzn2                             ||
||                |  1552075154.0  |  device-mapper.x86_64                        |            |  InstalledOther |  device-mapper.x86_64:7:1.02.146-4.amzn2.0.2                    ||
||                |  1552075157.0  |  device-mapper-event.x86_64                  |            |  InstalledOther |  device-mapper-event.x86_64:7:1.02.146-4.amzn2.0.2              ||
||                |  1552075157.0  |  device-mapper-event-libs.x86_64             |            |  InstalledOther |  device-mapper-event-libs.x86_64:7:1.02.146-4.amzn2.0.2         ||
||                |  1552075154.0  |  device-mapper-libs.x86_64                   |            |  InstalledOther |  device-mapper-libs.x86_64:7:1.02.146-4.amzn2.0.2               ||
