--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                                                                                     DescribeInstancePatches                                                                                    |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
||                                                                                            Patches                                                                                           ||
|+----------------+----------------+---------------------------------------------------------+------------+-----------------+-------------------------------------------------------------------+|
|| Classification | InstalledTime  |                          KBId                           | Severity   |      State      |                               Title                               ||
|+----------------+----------------+---------------------------------------------------------+------------+-----------------+-------------------------------------------------------------------+|
||  Bugfix        |  1570703377.0  |  GeoIP.x86_64                                           |  None      |  Installed      |  GeoIP.x86_64:0:1.5.0-14.el7                                      ||
||  Bugfix        |  1572864767.0  |  ModemManager-glib.x86_64                               |  None      |  Installed      |  ModemManager-glib.x86_64:0:1.6.10-3.el7_6                        ||
||  Bugfix        |  1572864770.0  |  abattis-cantarell-fonts.noarch                         |  None      |  Installed      |  abattis-cantarell-fonts.noarch:0:0.0.25-1.el7                    ||
||  Bugfix        |  1572864762.0  |  accountsservice.x86_64                                 |  None      |  Installed      |  accountsservice.x86_64:0:0.6.50-6.el7_7                          ||
||  Bugfix        |  1572864762.0  |  accountsservice-libs.x86_64                            |  None      |  Installed      |  accountsservice-libs.x86_64:0:0.6.50-6.el7_7                     ||
||  Bugfix        |  1572864771.0  |  adobe-mappings-cmap.noarch                             |  None      |  Installed      |  adobe-mappings-cmap.noarch:0:20171205-3.el7                      ||
||  Bugfix        |  1572864771.0  |  adobe-mappings-cmap-deprecated.noarch                  |  None      |  Installed      |  adobe-mappings-cmap-deprecated.noarch:0:20171205-3.el7           ||
||  Bugfix        |  1572864817.0  |  adobe-mappings-pdf.noarch                              |  None      |  Installed      |  adobe-mappings-pdf.noarch:0:20180407-1.el7                       ||
||  Bugfix        |  1569397948.0  |  adwaita-cursor-theme.noarch                            |  None      |  Installed      |  adwaita-cursor-theme.noarch:0:3.28.0-1.el7                       ||
||  Bugfix        |  1572864805.0  |  adwaita-gtk2-theme.x86_64                              |  None      |  Installed      |  adwaita-gtk2-theme.x86_64:0:3.28-2.el7                           ||
||  Bugfix        |  1569397952.0  |  adwaita-icon-theme.noarch                              |  None      |  Installed      |  adwaita-icon-theme.noarch:0:3.28.0-1.el7                         ||
||  Bugfix        |  1572864809.0  |  adwaita-qt5.x86_64                                     |  None      |  Installed      |  adwaita-qt5.x86_64:0:1.0-1.el7                                   ||
||  Bugfix        |  1568028357.0  |  alsa-lib.x86_64                                        |  None      |  Installed      |  alsa-lib.x86_64:0:1.1.8-1.el7                                    ||
||  Bugfix        |  1572864827.0  |  anaconda-user-help.noarch                              |  None      |  Installed      |  anaconda-user-help.noarch:1:7.5.3-1.el7                          ||
||  Bugfix        |  1572864790.0  |  appstream-data.noarch                                  |  None      |  Installed      |  appstream-data.noarch:0:7-20180614.el7                           ||
||  Bugfix        |  1569397946.0  |  at-spi2-atk.x86_64                                     |  None      |  Installed      |  at-spi2-atk.x86_64:0:2.26.2-1.el7                                ||
||  Bugfix        |  1569397946.0  |  at-spi2-core.x86_64                                    |  None      |  Installed      |  at-spi2-core.x86_64:0:2.28.0-1.el7                               ||
||  Bugfix        |  1568028351.0  |  atk.x86_64                                             |  None      |  Installed      |  atk.x86_64:0:2.28.1-1.el7                                        ||
||  Bugfix        |  1572864765.0  |  atkmm.x86_64                                           |  None      |  Installed      |  atkmm.x86_64:0:2.24.2-1.el7                                      ||
||  Bugfix        |  1570703417.0  |  audit.x86_64                                           |  None      |  Installed      |  audit.x86_64:0:2.8.5-4.el7                                       ||
||  Bugfix        |  1570703369.0  |  audit-libs.x86_64                                      |  None      |  Installed      |  audit-libs.x86_64:0:2.8.5-4.el7                                  ||
||  Bugfix        |  1570703374.0  |  audit-libs-python.x86_64                               |  None      |  Installed      |  audit-libs-python.x86_64:0:2.8.5-4.el7                           ||
||  Bugfix        |  1521827142.0  |  authconfig.x86_64                                      |  None      |  Installed      |  authconfig.x86_64:0:6.2.8-30.el7                                 ||
||  Bugfix        |  1572864860.0  |  avahi.x86_64                                           |  None      |  Installed      |  avahi.x86_64:0:0.6.31-19.el7                                     ||
||  Bugfix        |  1569397952.0  |  avahi-glib.x86_64                                      |  None      |  Installed      |  avahi-glib.x86_64:0:0.6.31-19.el7                                ||
||  Bugfix        |  1572864768.0  |  avahi-gobject.x86_64                                   |  None      |  Installed      |  avahi-gobject.x86_64:0:0.6.31-19.el7                             ||
||  Bugfix        |  1568028353.0  |  avahi-libs.x86_64                                      |  None      |  Installed      |  avahi-libs.x86_64:0:0.6.31-19.el7                                ||
||  Bugfix        |  1572864791.0  |  avahi-ui-gtk3.x86_64                                   |  None      |  Installed      |  avahi-ui-gtk3.x86_64:0:0.6.31-19.el7                             ||
||  Bugfix        |  1572864861.0  |  baobab.x86_64                                          |  None      |  Installed      |  baobab.x86_64:0:3.28.0-2.el7                                     ||
||  Bugfix        |  1570703368.0  |  bash.x86_64                                            |  None      |  Installed      |  bash.x86_64:0:4.2.46-33.el7                                      ||
||  Bugfix        |  1572864765.0  |  bluez.x86_64                                           |  None      |  Installed      |  bluez.x86_64:0:5.44-5.el7                                        ||
||  Bugfix        |  1572864779.0  |  bolt.x86_64                                            |  None      |  Installed      |  bolt.x86_64:0:0.7-1.el7                                          ||
||  Bugfix        |  1572864827.0  |  brasero.x86_64                                         |  None      |  Installed      |  brasero.x86_64:0:3.12.2-5.el7                                    ||
