-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                                                                                 DescribeInstancePatches                                                                                 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
||                                                                                        Patches                                                                                        ||
|+----------------+----------------+------------------------------------------------+------------+-----------------+---------------------------------------------------------------------+|
|| Classification | InstalledTime  |                     KBId                       | Severity   |      State      |                                Title                                ||
|+----------------+----------------+------------------------------------------------+------------+-----------------+---------------------------------------------------------------------+|
||  Security      |  1576147517.0  |  apr.x86_64                                    |  Important |  Installed      |  apr.x86_64:0:1.5.2-5.13.amzn1                                      ||
||  Security      |  1576147524.0  |  bind-libs.x86_64                              |  Important |  Installed      |  bind-libs.x86_64:32:9.8.2-0.68.rc1.60.amzn1                        ||
||  Security      |  1576147548.0  |  bind-utils.x86_64                             |  Important |  Installed      |  bind-utils.x86_64:32:9.8.2-0.68.rc1.60.amzn1                       ||
||  Security      |  1576147548.0  |  clamav.x86_64                                 |  Important |  Installed      |  clamav.x86_64:0:0.101.2-1.38.amzn1                                 ||
||  Security      |  1576147521.0  |  clamav-data.noarch                            |  Important |  Installed      |  clamav-data.noarch:0:0.101.2-1.38.amzn1                            ||
||  Security      |  1576147517.0  |  clamav-filesystem.noarch                      |  Important |  Installed      |  clamav-filesystem.noarch:0:0.101.2-1.38.amzn1                      ||
||  Security      |  1576147521.0  |  clamav-lib.x86_64                             |  Important |  Installed      |  clamav-lib.x86_64:0:0.101.2-1.38.amzn1                             ||
||  Security      |  1576147549.0  |  clamd.x86_64                                  |  Important |  Installed      |  clamd.x86_64:0:0.101.2-1.38.amzn1                                  ||
||  Security      |  1576147546.0  |  dhclient.x86_64                               |  Important |  Installed      |  dhclient.x86_64:12:4.1.1-53.P1.28.amzn1                            ||
||  Security      |  1576147528.0  |  dhcp-common.x86_64                            |  Important |  Installed      |  dhcp-common.x86_64:12:4.1.1-53.P1.28.amzn1                         ||
||  Security      |  1530774791.0  |  file.x86_64                                   |  Important |  Installed      |  file.x86_64:0:5.30-11.34.amzn1                                     ||
||  Security      |  1530774791.0  |  file-libs.x86_64                              |  Important |  Installed      |  file-libs.x86_64:0:5.30-11.34.amzn1                                ||
||  Security      |  1484954698.0  |  freetype.x86_64                               |  Important |  Installed      |  freetype.x86_64:0:2.3.11-15.14.amzn1                               ||
||  Security      |  1576147526.0  |  git.x86_64                                    |  Important |  Installed      |  git.x86_64:0:2.14.6-1.61.amzn1                                     ||
||  Security      |  1576147512.0  |  glibc.x86_64                                  |  Important |  Installed      |  glibc.x86_64:0:2.17-292.178.amzn1                                  ||
||  Security      |  1576147509.0  |  glibc-common.x86_64                           |  Important |  Installed      |  glibc-common.x86_64:0:2.17-292.178.amzn1                           ||
||  Security      |  1576147546.0  |  glibc-devel.x86_64                            |  Important |  Installed      |  glibc-devel.x86_64:0:2.17-292.178.amzn1                            ||
||  Security      |  1576147527.0  |  glibc-headers.x86_64                          |  Important |  Installed      |  glibc-headers.x86_64:0:2.17-292.178.amzn1                          ||
||  Security      |  1576147547.0  |  gnupg2.x86_64                                 |  Important |  Installed      |  gnupg2.x86_64:0:2.0.28-2.33.amzn1                                  ||
||  Security      |  1576147523.0  |  httpd24.x86_64                                |  Important |  Installed      |  httpd24.x86_64:0:2.4.41-1.88.amzn1                                 ||
||  Security      |  1576147523.0  |  httpd24-tools.x86_64                          |  Important |  Installed      |  httpd24-tools.x86_64:0:2.4.41-1.88.amzn1                           ||
||  Security      |  1484954702.0  |  libXfont.x86_64                               |  Important |  Installed      |  libXfont.x86_64:0:1.4.5-5.12.amzn1                                 ||
||  Security      |  1576147517.0  |  libnghttp2.x86_64                             |  Important |  Installed      |  libnghttp2.x86_64:0:1.31.1-2.5.amzn1                               ||
||  Security      |  1576147525.0  |  libssh2.x86_64                                |  Important |  Installed      |  libssh2.x86_64:0:1.4.2-3.12.amzn1                                  ||
||  Security      |  1497002068.0  |  libtirpc.x86_64                               |  Important |  Installed      |  libtirpc.x86_64:0:0.2.4-0.8.14.amzn1                               ||
||  Security      |  1484954699.0  |  libxml2.x86_64                                |  Important |  Installed      |  libxml2.x86_64:0:2.9.1-6.3.49.amzn1                                ||
||  Security      |  1487404362.0  |  libxml2-devel.x86_64                          |  Important |  Installed      |  libxml2-devel.x86_64:0:2.9.1-6.3.49.amzn1                          ||
||  Security      |  1484954723.0  |  libxml2-python27.x86_64                       |  Important |  Installed      |  libxml2-python27.x86_64:0:2.9.1-6.3.49.amzn1                       ||
||  Security      |  1576147548.0  |  mod24_ssl.x86_64                              |  Important |  Installed      |  mod24_ssl.x86_64:1:2.4.41-1.88.amzn1                               ||
||  Security      |  1576147517.0  |  mysql-config.x86_64                           |  Important |  Installed      |  mysql-config.x86_64:0:5.5.62-1.23.amzn1                            ||
||  Security      |  1576147546.0  |  mysql55.x86_64                                |  Important |  Installed      |  mysql55.x86_64:0:5.5.62-1.23.amzn1                                 ||
||  Security      |  1576147526.0  |  mysql55-libs.x86_64                           |  Important |  Installed      |  mysql55-libs.x86_64:0:5.5.62-1.23.amzn1                            ||
||  Security      |  1576147523.0  |  mysql56.x86_64                                |  Important |  Installed      |  mysql56.x86_64:0:5.6.45-1.34.amzn1                                 ||
||  Security      |  1576147517.0  |  mysql56-common.x86_64                         |  Important |  Installed      |  mysql56-common.x86_64:0:5.6.45-1.34.amzn1                          ||
||  Security      |  1576147522.0  |  mysql56-errmsg.x86_64                         |  Important |  Installed      |  mysql56-errmsg.x86_64:0:5.6.45-1.34.amzn1                          ||
||  Security      |  1576147549.0  |  mysql56-libs.x86_64                           |  Important |  Installed      |  mysql56-libs.x86_64:0:5.6.45-1.34.amzn1                            ||
||  Security      |  1576147549.0  |  mysql56-server.x86_64                         |  Important |  Installed      |  mysql56-server.x86_64:0:5.6.45-1.34.amzn1                          ||
||  Security      |  1576147515.0  |  pcre.x86_64                                   |  Important |  Installed      |  pcre.x86_64:0:8.21-7.8.amzn1                                       ||
||  Security      |  1576147515.0  |  perl.x86_64                                   |  Important |  Installed      |  perl.x86_64:4:5.16.3-294.43.amzn1                                  ||
||  Security      |  1576147525.0  |  perl-Git.noarch                               |  Important |  Installed      |  perl-Git.noarch:0:2.14.6-1.61.amzn1                                ||
||  Security      |  1576147550.0  |  perl-Pod-Escapes.noarch                       |  Important |  Installed      |  perl-Pod-Escapes.noarch:1:1.04-294.43.amzn1                        ||
||  Security      |  1576147513.0  |  perl-libs.x86_64                              |  Important |  Installed      |  perl-libs.x86_64:4:5.16.3-294.43.amzn1                             ||
||  Security      |  1576147513.0  |  perl-macros.x86_64                            |  Important |  Installed      |  perl-macros.x86_64:4:5.16.3-294.43.amzn1                           ||
||  Security      |  1576147547.0  |  php56.x86_64                                  |  Critical  |  Installed      |  php56.x86_64:0:5.6.40-1.143.amzn1                                  ||
||  Security      |  1576147547.0  |  php56-bcmath.x86_64                           |  Critical  |  Installed      |  php56-bcmath.x86_64:0:5.6.40-1.143.amzn1                           ||
||  Security      |  1576147525.0  |  php56-cli.x86_64                              |  Critical  |  Installed      |  php56-cli.x86_64:0:5.6.40-1.143.amzn1                              ||
||  Security      |  1576147525.0  |  php56-common.x86_64                           |  Critical  |  Installed      |  php56-common.x86_64:0:5.6.40-1.143.amzn1                           ||
||  Security      |  1576147547.0  |  php56-gd.x86_64                               |  Critical  |  Installed      |  php56-gd.x86_64:0:5.6.40-1.143.amzn1                               ||
||  Security      |  1576147547.0  |  php56-intl.x86_64                             |  Critical  |  Installed      |  php56-intl.x86_64:0:5.6.40-1.143.amzn1                             ||
||  Security      |  1576147547.0  |  php56-mbstring.x86_64                         |  Critical  |  Installed      |  php56-mbstring.x86_64:0:5.6.40-1.143.amzn1                         ||
||  Security      |  1576147547.0  |  php56-mcrypt.x86_64                           |  Critical  |  Installed      |  php56-mcrypt.x86_64:0:5.6.40-1.143.amzn1                           ||
||  Security      |  1576147547.0  |  php56-mysqlnd.x86_64                          |  Critical  |  Installed      |  php56-mysqlnd.x86_64:0:5.6.40-1.143.amzn1                          ||
||  Security      |  1576147525.0  |  php56-pdo.x86_64                              |  Critical  |  Installed      |  php56-pdo.x86_64:0:5.6.40-1.143.amzn1                              ||
||  Security      |  1576147525.0  |  php56-process.x86_64                          |  Critical  |  Installed      |  php56-process.x86_64:0:5.6.40-1.143.amzn1                          ||
||  Security      |  1576147547.0  |  php56-tidy.x86_64                             |  Critical  |  Installed      |  php56-tidy.x86_64:0:5.6.40-1.143.amzn1                             ||
||  Security      |  1576147525.0  |  php56-xml.x86_64                              |  Critical  |  Installed      |  php56-xml.x86_64:0:5.6.40-1.143.amzn1                              ||
