-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                                                                                 DescribeInstancePatches                                                                                 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
||                                                                                        Patches                                                                                        ||
|+----------------+----------------+------------------------------------------------+------------+-----------------+---------------------------------------------------------------------+|
|| Classification | InstalledTime  |                     KBId                       | Severity   |      State      |                                Title                                ||
|+----------------+----------------+------------------------------------------------+------------+-----------------+---------------------------------------------------------------------+|
||  Security      |  1544942328.0  |  apr.x86_64                                    |  Important |  Installed      |  apr.x86_64:0:1.5.2-5.13.amzn1                                      ||
||  Security      |  1544942328.0  |  apr-devel.x86_64                              |  Important |  Installed      |  apr-devel.x86_64:0:1.5.2-5.13.amzn1                                ||
||  Security      |  1575450063.0  |  bind-libs.x86_64                              |  Important |  Installed      |  bind-libs.x86_64:32:9.8.2-0.68.rc1.60.amzn1                        ||
||  Security      |  1575450065.0  |  bind-utils.x86_64                             |  Important |  Installed      |  bind-utils.x86_64:32:9.8.2-0.68.rc1.60.amzn1                       ||
||  Security      |  1551255677.0  |  dhclient.x86_64                               |  Important |  Installed      |  dhclient.x86_64:12:4.1.1-53.P1.28.amzn1                            ||
||  Security      |  1551255676.0  |  dhcp-common.x86_64                            |  Important |  Installed      |  dhcp-common.x86_64:12:4.1.1-53.P1.28.amzn1                         ||
||  Security      |  1511215904.0  |  file.x86_64                                   |  Important |  Installed      |  file.x86_64:0:5.30-11.34.amzn1                                     ||
||  Security      |  1511215901.0  |  file-libs.x86_64                              |  Important |  Installed      |  file-libs.x86_64:0:5.30-11.34.amzn1                                ||
||  Security      |  1511215900.0  |  freetype.x86_64                               |  Important |  Installed      |  freetype.x86_64:0:2.3.11-15.14.amzn1                               ||
||  Security      |  1551255675.0  |  glibc.x86_64                                  |  Important |  Installed      |  glibc.x86_64:0:2.17-260.175.amzn1                                  ||
||  Security      |  1551255673.0  |  glibc-common.x86_64                           |  Important |  Installed      |  glibc-common.x86_64:0:2.17-260.175.amzn1                           ||
||  Security      |  1551255678.0  |  gnupg2.x86_64                                 |  Important |  Installed      |  gnupg2.x86_64:0:2.0.28-2.33.amzn1                                  ||
||  Security      |  1575450064.0  |  httpd24.x86_64                                |  Important |  Installed      |  httpd24.x86_64:0:2.4.41-1.88.amzn1                                 ||
||  Security      |  1575450063.0  |  httpd24-tools.x86_64                          |  Important |  Installed      |  httpd24-tools.x86_64:0:2.4.41-1.88.amzn1                           ||
||  Security      |  1511215903.0  |  libXfont.x86_64                               |  Important |  Installed      |  libXfont.x86_64:0:1.4.5-5.12.amzn1                                 ||
||  Security      |  1575450064.0  |  libnghttp2.x86_64                             |  Important |  Installed      |  libnghttp2.x86_64:0:1.31.1-2.5.amzn1                               ||
||  Security      |  1575450065.0  |  libssh2.x86_64                                |  Important |  Installed      |  libssh2.x86_64:0:1.4.2-3.12.amzn1                                  ||
||  Security      |  1511215910.0  |  libtirpc.x86_64                               |  Important |  Installed      |  libtirpc.x86_64:0:0.2.4-0.8.14.amzn1                               ||
||  Security      |  1511215900.0  |  libxml2.x86_64                                |  Important |  Installed      |  libxml2.x86_64:0:2.9.1-6.3.49.amzn1                                ||
||  Security      |  1511215915.0  |  libxml2-python27.x86_64                       |  Important |  Installed      |  libxml2-python27.x86_64:0:2.9.1-6.3.49.amzn1                       ||
||  Security      |  1551255675.0  |  mysql-config.x86_64                           |  Important |  Installed      |  mysql-config.x86_64:0:5.5.62-1.23.amzn1                            ||
||  Security      |  1551255675.0  |  mysql55.x86_64                                |  Important |  Installed      |  mysql55.x86_64:0:5.5.62-1.23.amzn1                                 ||
||  Security      |  1551255675.0  |  mysql55-libs.x86_64                           |  Important |  Installed      |  mysql55-libs.x86_64:0:5.5.62-1.23.amzn1                            ||
||  Security      |  1551255678.0  |  mysql55-server.x86_64                         |  Important |  Installed      |  mysql55-server.x86_64:0:5.5.62-1.23.amzn1                          ||
||  Security      |  1551255680.0  |  pcre.x86_64                                   |  Important |  Installed      |  pcre.x86_64:0:8.21-7.8.amzn1                                       ||
||  Security      |  1575450063.0  |  perl.x86_64                                   |  Important |  Installed      |  perl.x86_64:4:5.16.3-294.43.amzn1                                  ||
||  Security      |  1575450065.0  |  perl-Pod-Escapes.noarch                       |  Important |  Installed      |  perl-Pod-Escapes.noarch:1:1.04-294.43.amzn1                        ||
||  Security      |  1575450062.0  |  perl-libs.x86_64                              |  Important |  Installed      |  perl-libs.x86_64:4:5.16.3-294.43.amzn1                             ||
||  Security      |  1575450062.0  |  perl-macros.x86_64                            |  Important |  Installed      |  perl-macros.x86_64:4:5.16.3-294.43.amzn1                           ||
||  Security      |  1575450065.0  |  php56.x86_64                                  |  Critical  |  Installed      |  php56.x86_64:0:5.6.40-1.143.amzn1                                  ||
||  Security      |  1575450065.0  |  php56-bcmath.x86_64                           |  Critical  |  Installed      |  php56-bcmath.x86_64:0:5.6.40-1.143.amzn1                           ||
||  Security      |  1575450062.0  |  php56-cli.x86_64                              |  Critical  |  Installed      |  php56-cli.x86_64:0:5.6.40-1.143.amzn1                              ||
||  Security      |  1575450062.0  |  php56-common.x86_64                           |  Critical  |  Installed      |  php56-common.x86_64:0:5.6.40-1.143.amzn1                           ||
||  Security      |  1575450065.0  |  php56-gd.x86_64                               |  Critical  |  Installed      |  php56-gd.x86_64:0:5.6.40-1.143.amzn1                               ||
||  Security      |  1575450065.0  |  php56-intl.x86_64                             |  Critical  |  Installed      |  php56-intl.x86_64:0:5.6.40-1.143.amzn1                             ||
||  Security      |  1575450065.0  |  php56-mbstring.x86_64                         |  Critical  |  Installed      |  php56-mbstring.x86_64:0:5.6.40-1.143.amzn1                         ||
||  Security      |  1575450065.0  |  php56-mcrypt.x86_64                           |  Critical  |  Installed      |  php56-mcrypt.x86_64:0:5.6.40-1.143.amzn1                           ||
||  Security      |  1575450065.0  |  php56-mysqlnd.x86_64                          |  Critical  |  Installed      |  php56-mysqlnd.x86_64:0:5.6.40-1.143.amzn1                          ||
