--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                                                                                     DescribeInstancePatches                                                                                    |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
||                                                                                            Patches                                                                                           ||
|+----------------+----------------+---------------------------------------------------------+------------+-----------------+-------------------------------------------------------------------+|
|| Classification | InstalledTime  |                          KBId                           | Severity   |      State      |                               Title                               ||
|+----------------+----------------+---------------------------------------------------------+------------+-----------------+-------------------------------------------------------------------+|
||  Bugfix        |  1570703377.0  |  GeoIP.x86_64                                           |  None      |  Installed      |  GeoIP.x86_64:0:1.5.0-14.el7                                      ||
||  Bugfix        |  1569397948.0  |  adwaita-cursor-theme.noarch                            |  None      |  Installed      |  adwaita-cursor-theme.noarch:0:3.28.0-1.el7                       ||
||  Bugfix        |  1569397952.0  |  adwaita-icon-theme.noarch                              |  None      |  Installed      |  adwaita-icon-theme.noarch:0:3.28.0-1.el7                         ||
||  Bugfix        |  1568028357.0  |  alsa-lib.x86_64                                        |  None      |  Installed      |  alsa-lib.x86_64:0:1.1.8-1.el7                                    ||
||  Bugfix        |  1569397946.0  |  at-spi2-atk.x86_64                                     |  None      |  Installed      |  at-spi2-atk.x86_64:0:2.26.2-1.el7                                ||
||  Bugfix        |  1569397946.0  |  at-spi2-core.x86_64                                    |  None      |  Installed      |  at-spi2-core.x86_64:0:2.28.0-1.el7                               ||
||  Bugfix        |  1568028351.0  |  atk.x86_64                                             |  None      |  Installed      |  atk.x86_64:0:2.28.1-1.el7                                        ||
||  Bugfix        |  1570703417.0  |  audit.x86_64                                           |  None      |  Installed      |  audit.x86_64:0:2.8.5-4.el7                                       ||
||  Bugfix        |  1570703369.0  |  audit-libs.x86_64                                      |  None      |  Installed      |  audit-libs.x86_64:0:2.8.5-4.el7                                  ||
||  Bugfix        |  1570703374.0  |  audit-libs-python.x86_64                               |  None      |  Installed      |  audit-libs-python.x86_64:0:2.8.5-4.el7                           ||
||  Bugfix        |  1521827142.0  |  authconfig.x86_64                                      |  None      |  Installed      |  authconfig.x86_64:0:6.2.8-30.el7                                 ||
||  Bugfix        |  1569397952.0  |  avahi-glib.x86_64                                      |  None      |  Installed      |  avahi-glib.x86_64:0:0.6.31-19.el7                                ||
||  Bugfix        |  1568028353.0  |  avahi-libs.x86_64                                      |  None      |  Installed      |  avahi-libs.x86_64:0:0.6.31-19.el7                                ||
||  Bugfix        |  1570703368.0  |  bash.x86_64                                            |  None      |  Installed      |  bash.x86_64:0:4.2.46-33.el7                                      ||
||  Bugfix        |  1521827146.0  |  btrfs-progs.x86_64                                     |  None      |  Installed      |  btrfs-progs.x86_64:0:4.9.1-1.el7                                 ||
||  Bugfix        |  1521826905.0  |  bzip2-libs.x86_64                                      |  None      |  Installed      |  bzip2-libs.x86_64:0:1.0.6-13.el7                                 ||
||  Bugfix        |  1568028358.0  |  cairo.x86_64                                           |  None      |  Installed      |  cairo.x86_64:0:1.15.12-4.el7                                     ||
||  Bugfix        |  1569397945.0  |  cairo-gobject.x86_64                                   |  None      |  Installed      |  cairo-gobject.x86_64:0:1.15.12-4.el7                             ||
||  Bugfix        |  1570703388.0  |  checkpolicy.x86_64                                     |  None      |  Installed      |  checkpolicy.x86_64:0:2.5-8.el7                                   ||
||  Bugfix        |  1521826904.0  |  chkconfig.x86_64                                       |  None      |  Installed      |  chkconfig.x86_64:0:1.7.4-1.el7                                   ||
||  Bugfix        |  1570703421.0  |  chrony.x86_64                                          |  None      |  Installed      |  chrony.x86_64:0:3.4-1.el7                                        ||
||  Bugfix        |  1570703423.0  |  cloud-utils-growpart.noarch                            |  None      |  Installed      |  cloud-utils-growpart.noarch:0:0.29-5.el7                         ||
||  Bugfix        |  1569397946.0  |  colord-libs.x86_64                                     |  None      |  Installed      |  colord-libs.x86_64:0:1.3.4-1.el7                                 ||
||  Bugfix        |  1568028351.0  |  copy-jdk-configs.noarch                                |  None      |  Installed      |  copy-jdk-configs.noarch:0:3.3-10.el7_5                           ||
||  Bugfix        |  1570703370.0  |  coreutils.x86_64                                       |  None      |  Installed      |  coreutils.x86_64:0:8.22-24.el7                                   ||
||  Bugfix        |  1521826908.0  |  cpio.x86_64                                            |  None      |  Installed      |  cpio.x86_64:0:2.11-27.el7                                        ||
||  Bugfix        |  1570703400.0  |  cronie.x86_64                                          |  None      |  Installed      |  cronie.x86_64:0:1.4.11-23.el7                                    ||
||  Bugfix        |  1570703400.0  |  cronie-anacron.x86_64                                  |  None      |  Installed      |  cronie-anacron.x86_64:0:1.4.11-23.el7                            ||
||  Bugfix        |  1568028353.0  |  cups-libs.x86_64                                       |  None      |  Installed      |  cups-libs.x86_64:1:1.6.3-40.el7                                  ||
||  Bugfix        |  1521826938.0  |  cyrus-sasl-lib.x86_64                                  |  None      |  Installed      |  cyrus-sasl-lib.x86_64:0:2.1.26-23.el7                            ||
||  Bugfix        |  1570703391.0  |  dbus.x86_64                                            |  None      |  Installed      |  dbus.x86_64:1:1.10.24-13.el7_6                                   ||
||  Bugfix        |  1570703389.0  |  dbus-libs.x86_64                                       |  None      |  Installed      |  dbus-libs.x86_64:1:1.10.24-13.el7_6                              ||
||  Bugfix        |  1569397946.0  |  dconf.x86_64                                           |  None      |  Installed      |  dconf.x86_64:0:0.28.0-4.el7                                      ||
